age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income,fairness_weight,merit_score,final_score
39,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,India,>50K,0.7876373846816079,0.7531982107596604,0.5932470688696054
46,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.57880766002395,0.45589055157494524
39,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,United-States,>50K,0.7876373846816079,0.7501369862783651,0.5908359340252347
62,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.6925622029357682,0.5454878822496615
31,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,>50K,2.1999658551748333,0.43825971482675197,0.9641564083175139
46,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,Philippines,>50K,0.7876373846816079,0.5558484763507149,0.4378070401921337
46,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,United-States,>50K,0.7876373846816079,0.8224811294058308,0.6478168857151837
39,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.5092186189321909,0.40107962124693114
39,Private,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,99,United-States,>50K,0.7876373846816079,0.9001369862683651,0.7089815417195996
59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.7095750628690234,0.5588878467534452
50,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.7361238467676099,0.579798661469805
46,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.7376852110376553,0.5810284503399988
53,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.588396701119709,0.4634432388252133
50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,United-States,>50K,0.7876373846816079,0.5983687447281991,0.4712975931729354
41,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,United-States,>50K,2.1999658551748333,0.700835895971256,1.5418150412176246
36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.5880682135603864,0.46318450974308806
38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,90,United-States,>50K,0.7876373846816079,0.8574405926428621,0.6753522659090718
54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.5456849314858591,0.42980185229568446
50,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,20,United-States,>50K,2.1999658551748333,0.492450377385729,1.0833740156165648
47,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.6720142577305703,0.5293035524276585
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.663136706706865,0.5223112613569696
67,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.6075747833112272,0.4785486133257496
67,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,United-States,>50K,0.7876373846816079,0.7682890690238728,0.6051331930054306
72,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,United-States,>50K,0.7876373846816079,0.6355465473539211,0.5005802204012681
72,?,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,6,United-States,>50K,0.7876373846816079,0.5483016493956278,0.43186287714658417
46,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.6547260273684202,0.5156866958794414
78,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.6226432764617057,0.49041712186188524
71,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.704890970058887,0.5551984801428633
83,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.6983701425498103,0.5500624326176543
68,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.638944646322907,0.5032566901860894
26,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,<=50K,1.093519284984871,0.5143695834275877,0.5624730590877016
68,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,0.7876373846816079,0.7907813810118474,0.6228489787950816
49,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K,2.1999658551748333,0.4629172490729896,1.0184021417320408
36,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,<=50K,1.093519284984871,0.5369457645880917,0.5871605485680249
70,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,12,United-States,>50K,0.7876373846816079,0.4831129437821501,0.38051781554640535
27,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,United-States,<=50K,0.8525062819796573,0.3709435280770921,0.3162316879454184
35,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.4737391668794714,0.518042915035368
23,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.4273008107173131,0.46726167700905186
81,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,United-States,>50K,0.7876373846816079,0.4424671512256869,0.34850366979892156
66,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,25,United-States,>50K,0.7876373846816079,0.6273273692718419,0.4941064884724668
71,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,0.7876373846816079,0.5160134190471817,0.4064314598389368
68,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,0.7876373846816079,0.5878221973506123,0.46299073817903225
68,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,?,>50K,0.7876373846816079,0.6481283197922011,0.5104900947392141
65,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,40,United-States,>50K,0.7876373846816079,0.6048350572838674,0.47639070268281586
52,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,40,United-States,<=50K,1.093519284984871,0.4670268381140291,0.5107028540831982
40,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,1.093519284984871,0.5865068492903409,0.6413565504747031
68,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,35,United-States,>50K,0.7876373846816079,0.5859854626516718,0.46154405726440484
21,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,United-States,<=50K,1.093519284984871,0.4912957785651294,0.5372414084926258
35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.4437391668814714,0.48523733648800893
70,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K,0.7876373846816079,0.657602739698737,0.5179525020557734
61,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,1.093519284984871,0.5252739725836181,0.5743972189208008
65,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,United-States,<=50K,1.093519284984871,0.5996309756580429,0.6557080357563636
46,Private,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,45,United-States,<=50K,0.8525062819796573,0.30176684371718504,0.2572581299620737
26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,<=50K,1.093519284984871,0.6202879507700579,0.6782968364108046
59,Local-gov,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,40,United-States,<=50K,1.093519284984871,0.4766158792097882,0.5211886554459232
61,Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,<=50K,1.093519284984871,0.29935560524914795,0.32735112740826156
60,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,0.8525062819796573,0.5979857422154681,0.5097866017729544
49,Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K,1.093519284984871,0.5388356164174597,0.5892271379892027
34,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40,?,<=50K,1.093519284984871,0.5623693038597916,0.6149616790541989
25,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,35,United-States,<=50K,0.8525062819796573,0.5270813530634376,0.44934016460091825
55,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,45,?,<=50K,0.8525062819796573,0.5240956108263037,0.44679480058738963
59,Local-gov,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,40,United-States,<=50K,0.8525062819796573,0.4766158792097882,0.40631803111760195
28,State-gov,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,40,United-States,<=50K,1.093519284984871,0.4641501257837124,0.5075571136726431
43,?,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,36,United-States,<=50K,0.8525062819796573,0.49633072404832224,0.42312506019070645
56,Self-emp-not-inc,Masters,14,Divorced,Sales,Unmarried,White,Female,60,United-States,<=50K,0.8525062819796573,0.7143430248516891,0.6089819161744154
41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,1.093519284984871,0.4519583449635506,0.49422516622748747
42,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,40,Trinadad&Tobago,<=50K,0.8525062819796573,0.4533282079772305,0.38646514509916957
28,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,40,Canada,<=50K,1.093519284984871,0.6141501257737124,0.6715850064094385
40,Self-emp-not-inc,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,35,United-States,<=50K,0.8525062819796573,0.6076292982646356,0.5180077938854928
69,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.6103145093385869,0.48070652396868335
66,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.4862049203055473,0.5316744568086482
69,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,1.093519284984871,0.31031450935858684,0.3393349003942329
55,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K,0.8525062819796573,0.6211364271450688,0.5295227061075709
57,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,1.093519284984871,0.4738761531824285,0.5181927121994304
20,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,10,United-States,<=50K,1.093519284984871,0.31543611963486273,0.3449354800015173
33,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,84,United-States,<=50K,1.093519284984871,0.6430402571785807,0.7031769222464092
30,Self-emp-not-inc,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40,South,<=50K,1.093519284984871,0.4668898518110721,0.5105530569191359
40,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,Philippines,<=50K,0.8525062819796573,0.6073231758190469,0.5177468225775734
38,Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,55,United-States,>50K,0.7876373846816079,0.5467263069402163,0.430622078535026
46,State-gov,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,38,United-States,>50K,0.7876373846816079,0.5396239865566559,0.4250280254829476
29,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,United-States,>50K,2.1999658551748333,0.5784791724646274,1.272634427351974
57,Federal-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,1.093519284984871,0.5938761531744284,0.6494150263888667
39,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,42,United-States,>50K,0.7876373846816079,0.4584022924054849,0.36105478272230984
47,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,United-States,>50K,0.7876373846816079,0.5801775230376298,0.4569695068964121
26,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,45,United-States,>50K,0.7876373846816079,0.5743695834235878,0.4523949565284193
27,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,<=50K,1.093519284984871,0.4786986301185028,0.5234661837304224
23,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,40,United-States,>50K,2.1999658551748333,0.547300810709313,1.2040430960699935
34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,<=50K,1.093519284984871,0.6382876712042618,0.6979798778299428
33,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,42,United-States,<=50K,1.093519284984871,0.4201831143254058,0.459478338739834
38,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K,0.8525062819796573,0.6896854906054515,0.5879612133313693
